EGS,depth,abundance
1851206.389,4,0
1869396.232,4,0
1956540.629,4,0
2009780.634,4,0
2010968.649,4,0
2055703.079,4,0
1591369.795,4,0.575
1656852.3,4,0.118172
1673481.962,4,0.596857
1693285.209,4,0
1728299.015,4,0.029665
1820639.076,4,0
1820832.808,4,0
1855205.774,4,0.013636
2042016.07,4,0
2075772.998,4,0
2115544.764,4,0.195077
2163586.467,4,0
2168270.91,4,0
2202917.038,4,0
2322395.858,4,0
2504520.158,4,0.029975
2581091.136,4,0
2763780.976,4,0
2792234.475,4,0.037869
2936146.812,4,0
3118477.766,4,0.077399
3592875.125,4,0.127627
1325549.317,4,1.128182
1465130.242,4,0
1487027.354,4,0
1687069.983,4,0.660502
1803013.224,4,0
1873440.33,4,0
2083991.251,4,0.08424
2652780.488,4,0
1537067.175,989.64655,0
2106631.443,989.64655,0.563159
2295757.172,989.64655,0
2416182.504,989.64655,0.333594
2595850.768,989.64655,0.384652
2633157.895,989.64655,0
2637539.438,989.64655,0
2975438.931,989.64655,1.761646
1907085.894,989.64655,0
2680535.994,989.64655,0.328263
2798252.648,989.64655,1.95234
3082049.76,989.64655,0
1874222.345,989.64655,0.199068
2454889.23,989.64655,0
2466240.782,989.64655,0
1446709.698,989.64655,1.920877
1457916.623,989.64655,1.298483
1493225.235,989.64655,2.827818
1581636.647,989.64655,2.935453
1651796.147,989.64655,8.030911
1663276.381,989.64655,2.320649
1752110.801,989.64655,2.110424
1829129.437,989.64655,9.571235
1890539.455,989.64655,5.899369
1918532.154,989.64655,27.43548
1995929.298,989.64655,9.534138
2016216.797,989.64655,14.556536
2016801.827,989.64655,0.818763
2222105.146,989.64655,1.838392
2247005.988,989.64655,1.200183
2251232.755,989.64655,4.013054
2258179.322,989.64655,0.305881
2264096.188,989.64655,0.206698
2268898.508,989.64655,0.129334
2330684.388,989.64655,0.771602
2358247.093,989.64655,0.043856
2359412.944,989.64655,1.378485
2410523.297,989.64655,0.021046
2481800.545,989.64655,0.656366
2553573.122,989.64655,0.242661
2582196.279,989.64655,4.232552
2589108.578,989.64655,0.182067
2614176.484,989.64655,0
2620414.857,989.64655,0
2635379.029,989.64655,7.200029
2662387.515,989.64655,0.394726
2676894.594,989.64655,2.29012
2694308.061,989.64655,0.938475
2938393.652,989.64655,1.881658
3054516.029,989.64655,0
3230981.729,989.64655,12.515945
3661459.281,989.64655,0
1340314.994,989.64655,0.341717
1379677.467,989.64655,1.117993
1430240.216,989.64655,0.311811
1439155.484,989.64655,11.178564
1456472.573,989.64655,9.299365
1495621.563,989.64655,4.293634
1507545.764,989.64655,3.347129
1515892.788,989.64655,2.655551
1552783.529,989.64655,0.728283
1561506.06,989.64655,2.996836
1564638.398,989.64655,6.273044
1583286.745,989.64655,2.14429
1618234.364,989.64655,0.509809
1637737.763,989.64655,2.280116
1697468.372,989.64655,6.991499
1966410.51,989.64655,5.871557
1110638.695,989.64655,48.876091
1131377.483,989.64655,4.001985
1256488.117,989.64655,7.396178
1275744.522,989.64655,2.287448
1304114.484,989.64655,3.470002
1308389.977,989.64655,1.713347
1409981.56,989.64655,15.053687
1515259.641,989.64655,2.672943
1527391.442,989.64655,48.380846
1633574.463,989.64655,5.011481
2303081.183,989.64655,0.069305
2458581.75,989.64655,0
2629707.237,989.64655,0.190622
2839279.867,989.64655,0.088618
2907955.197,989.64655,0
3143504.787,989.64655,0
2084003.218,989.64655,0
2419995.863,989.64655,0.164576
2510845.85,989.64655,0.958815
2688466.89,989.64655,3.413405
2813370.45,989.64655,0.155177
2983519.588,989.64655,0
3086524.792,989.64655,2.172236
3367044.82,989.64655,0
3520150.167,989.64655,0.155532
3862329.886,989.64655,0.024732
1370343.546,989.64655,14.170755
1413077.037,989.64655,3.871015
1441197.664,989.64655,2.948818
1504514.989,989.64655,0.687669
1512077.992,989.64655,1.365227
1513255.912,989.64655,1.906196
1527512.248,989.64655,2.383095
1539874.919,989.64655,3.060958
1560974.768,989.64655,2.657269
1619911.049,989.64655,14.981216
1711541.188,989.64655,4.047976
1734198.486,989.64655,13.984804
1737315.505,989.64655,16.384631
1774907.095,989.64655,2.378005
1795368.002,989.64655,0.883383
2072896.291,989.64655,2.394034
2083622.631,989.64655,2.231939
2150638.677,989.64655,1.137619
2216506.247,989.64655,3.361982
2650679.612,989.64655,0.846609
1408712.462,989.64655,1.771252
1490551.003,989.64655,2.4563
1567077.929,989.64655,1.864897
1608316.687,989.64655,1.02633
1662833.64,989.64655,0.560543
1781415.112,989.64655,0.552308
1810680.456,989.64655,1.023238
1866097.773,989.64655,0.407157
1887408.638,989.64655,0.423801
1983984.078,989.64655,0.33629
2041929.073,989.64655,0.357959
2059797.991,989.64655,0.134532
2111146.864,989.64655,1.41908
2137777.778,989.64655,0.794305
2157169.832,989.64655,0.26882
2158523.182,989.64655,0.248964
2192810.292,989.64655,0.406346
2215459.783,989.64655,46.196494
2295003.828,989.64655,15.967574
2323059.43,989.64655,0.552305
2337368.032,989.64655,7.435806
2387688.303,989.64655,0.409805
2389851.605,989.64655,3.937466
2463304.553,989.64655,4.801168
2476542.361,989.64655,34.177222
2676454.576,989.64655,19.349184
2838486.131,989.64655,0.568783
2887285.023,989.64655,1.722474
1666445.58,989.64655,1.244028
1708150.616,989.64655,4.841931
1774171.659,989.64655,1.988196
1822411.29,989.64655,1.579358
2045693.373,989.64655,0.848978
2068359.028,989.64655,1.333774
2106443.897,989.64655,2.887058
2109231.45,989.64655,3.665455
2234493.093,989.64655,0
2330533.32,989.64655,0.396818
1833123.845,989.64655,0.432012
